step, flag_perc, avg_face_degree, polydispersity, avg_volume, time
foam155, 87.14436248682824, 12.743940990516332, 0.20817954540910222, 1.109591278997747, 2.3306
foam156, 87.64519535374869, 12.74973600844773, 0.2098013494143951, 1.1121030634909201, 2.33656
foam157, 84.37170010559663, 12.692713833157338, 0.21424739737400955, 1.1131638537023507, 2.34656
foam158, 83.80952380952381, 12.679365079365079, 0.21776851212198833, 1.116138584234116, 2.35645
foam159, 83.6864406779661, 12.67584745762712, 0.21920019810762748, 1.115572848764287, 2.35968
foam160, 83.45705196182396, 12.663838812301167, 0.22098581525205585, 1.116588259495427, 2.36451
foam161, 82.59023354564756, 12.641188959660298, 0.2240906957018547, 1.1227431940249988, 2.37209
foam162, 82.89054197662061, 12.641870350690754, 0.22498899296465003, 1.1232648593381414, 2.37532
foam163, 82.4468085106383, 12.63191489361702, 0.22724799736316337, 1.1246476067009143, 2.38137
foam164, 81.15015974440894, 12.613418530351439, 0.23281474988322448, 1.1260928703173618, 2.39454
foam165, 81.55650319829424, 12.611940298507463, 0.23468844176382375, 1.1277413793603939, 2.39973
foam166, 81.19658119658119, 12.602564102564102, 0.23691850426856775, 1.1311142656431297, 2.4062
foam167, 81.04925053533191, 12.591006423982869, 0.24099847417802622, 1.1332650383091303, 2.41669
foam168, 80.38585209003215, 12.580921757770632, 0.24261940832939866, 1.1349332355660278, 2.42099
foam169, 80.68669527896995, 12.583690987124463, 0.24271420417550837, 1.1361981439253228, 2.42206
foam170, 79.59183673469387, 12.56498388829216, 0.24461417720945366, 1.137640943391455, 2.42713
foam171, 77.26293103448276, 12.52155172413793, 0.2471217486682986, 1.1420522442437762, 2.43461
foam172, 77.02265372168284, 12.507011866235167, 0.24981828215921076, 1.1411833510847338, 2.43964
foam173, 76.5658747300216, 12.505399568034557, 0.2505362145966086, 1.142215718907603, 2.44183
foam174, 76.54054054054053, 12.503783783783783, 0.2515353367732909, 1.1436109885433001, 2.44492
foam175, 76.273022751896, 12.494041170097509, 0.25269519792452466, 1.1465731866056479, 2.4494
foam176, 75.73131094257855, 12.47887323943662, 0.25276551048238116, 1.1464783849597524, 2.4494
foam177, 75.0816104461371, 12.46354733405876, 0.25574471026597356, 1.1516631645733757, 2.45906
foam178, 75.70806100217865, 12.466230936819173, 0.2567747190621923, 1.1531082626805502, 2.46221
foam179, 73.0349344978166, 12.41703056768559, 0.2603931828891419, 1.1540922760211954, 2.47005
foam180, 71.78924259055982, 12.412733260153678, 0.26491476150590065, 1.1602505813905697, 2.48419
foam181, 72.19780219780219, 12.415384615384616, 0.26488757255727724, 1.1615269697782329, 2.48504
foam182, 71.91629955947137, 12.416299559471366, 0.2672618895213168, 1.1646065038964453, 2.49201
foam183, 70.01102535832415, 12.359426681367145, 0.2697961658696095, 1.1655675882926069, 2.49694
foam184, 70.19867549668875, 12.364238410596027, 0.2711329642693667, 1.1669883070291822, 2.50064
foam185, 68.8470066518847, 12.348115299334811, 0.2739594593351189, 1.1730616361322204, 2.51016
foam186, 68.93095768374164, 12.33630289532294, 0.2781207676109123, 1.1788254634808215, 2.5223
foam187, 68.22742474916387, 12.32329988851728, 0.27892555614537984, 1.1801115572706493, 2.52472
foam188, 68.93854748603351, 12.33072625698324, 0.279597397076482, 1.1829640783440072, 2.52798
foam189, 69.35123042505593, 12.32662192393736, 0.27953556742814434, 1.18440321612503, 2.52877
foam190, 68.5746352413019, 12.30976430976431, 0.2811920910455459, 1.1891117367399122, 2.53417
foam191, 69.06636670416198, 12.312710911136108, 0.28090920658775875, 1.1917107384111945, 2.53557
foam192, 68.73589164785552, 12.295711060948081, 0.2826782731398212, 1.1948927376704042, 2.54201
foam193, 68.77828054298642, 12.30316742081448, 0.2833360792778241, 1.1977745018300565, 2.54517
foam194, 68.02721088435374, 12.29251700680272, 0.2836925907385941, 1.2002919885975567, 2.54779
foam195, 68.4090909090909, 12.297727272727272, 0.2839089977918403, 1.2035047667499446, 2.55031
foam196, 68.91428571428571, 12.317714285714287, 0.2846926309351896, 1.2110916087519585, 2.55708
foam197, 68.8787185354691, 12.308924485125859, 0.2849246441241975, 1.2124709027911178, 2.55837
