cell_tetrahedron, cell_prism_3, cell_cube, cell_prism_5, cell_config_1, cell_config_2, cell_config_3, cell_config_4, cell_config_5, cell_config_6, cell_config_7, cell_config_8, cell_config_9, cell_dodecahedron, cell_config_10, cell_config_11, cell_config_12, cell_config_13, cell_config_14, cell_config_15, cell_config_16, cell_config_17, cell_config_18, cell_config_19, all_cells, all_combinatorial_types
23, 0, 51, 38, 67, 57, 17, 30, 15, 17, 28, 22, 12, 5, 5, 7, 3, 5, 5, 10, 2, 2, 10, 9, 974, 418
24, 0, 55, 38, 67, 56, 15, 30, 16, 19, 26, 25, 12, 3, 5, 6, 3, 5, 6, 10, 3, 2, 11, 8, 974, 417
25, 1, 57, 41, 68, 52, 16, 32, 18, 19, 25, 23, 11, 3, 4, 6, 2, 5, 5, 11, 3, 2, 12, 5, 973, 420
21, 2, 59, 42, 69, 51, 15, 31, 16, 20, 25, 25, 11, 3, 4, 6, 2, 5, 4, 9, 3, 2, 11, 5, 969, 417
22, 3, 57, 41, 72, 50, 15, 30, 19, 20, 24, 26, 11, 2, 4, 6, 3, 5, 4, 9, 3, 2, 12, 5, 968, 418
24, 3, 60, 42, 66, 58, 14, 26, 17, 20, 23, 27, 10, 3, 5, 7, 3, 4, 1, 8, 3, 2, 13, 4, 966, 417
23, 3, 61, 42, 65, 59, 15, 26, 18, 20, 24, 26, 10, 3, 4, 7, 3, 4, 1, 8, 3, 2, 13, 4, 965, 415
21, 3, 63, 42, 65, 59, 15, 26, 19, 20, 23, 26, 10, 3, 3, 8, 3, 4, 1, 7, 3, 2, 13, 4, 963, 413
22, 4, 68, 52, 60, 55, 16, 29, 15, 20, 21, 26, 11, 2, 3, 9, 3, 4, 2, 6, 3, 1, 14, 4, 962, 415
21, 4, 71, 51, 58, 54, 17, 28, 16, 19, 20, 26, 11, 2, 3, 8, 3, 4, 2, 6, 3, 1, 14, 5, 961, 412
19, 4, 73, 52, 58, 56, 16, 27, 18, 17, 20, 26, 11, 2, 3, 8, 3, 4, 2, 6, 3, 0, 14, 5, 959, 410
18, 5, 72, 55, 57, 53, 17, 28, 18, 18, 21, 24, 11, 2, 2, 8, 3, 4, 2, 7, 2, 0, 13, 6, 958, 409
17, 6, 73, 57, 58, 54, 16, 30, 15, 18, 19, 26, 9, 2, 3, 8, 4, 3, 2, 6, 2, 0, 11, 5, 957, 414
15, 5, 73, 57, 59, 55, 16, 31, 15, 18, 19, 26, 10, 2, 3, 8, 4, 3, 2, 6, 2, 0, 12, 6, 954, 410
15, 4, 73, 58, 60, 52, 18, 31, 16, 18, 18, 24, 10, 2, 3, 8, 4, 3, 2, 6, 2, 0, 11, 6, 953, 410
14, 4, 73, 58, 60, 51, 20, 31, 16, 18, 19, 24, 10, 2, 3, 8, 4, 3, 2, 6, 2, 0, 11, 6, 952, 409
17, 4, 73, 56, 61, 52, 20, 30, 15, 21, 20, 21, 10, 2, 3, 9, 4, 3, 2, 6, 2, 0, 14, 5, 951, 407
16, 4, 75, 57, 59, 51, 22, 28, 13, 21, 20, 20, 11, 2, 3, 9, 4, 3, 2, 6, 2, 0, 14, 5, 949, 407
19, 2, 79, 56, 61, 48, 21, 29, 11, 21, 20, 19, 12, 2, 3, 9, 4, 3, 2, 6, 3, 0, 13, 5, 949, 404
24, 4, 84, 55, 63, 48, 17, 29, 12, 20, 21, 24, 13, 2, 3, 6, 4, 2, 3, 4, 2, 0, 11, 4, 949, 407
23, 4, 85, 54, 63, 49, 17, 29, 12, 19, 21, 24, 14, 2, 3, 6, 4, 2, 3, 4, 2, 0, 11, 4, 947, 405
30, 6, 85, 51, 67, 49, 20, 28, 11, 16, 23, 22, 13, 2, 4, 7, 4, 2, 2, 6, 2, 0, 12, 5, 947, 402
33, 4, 87, 50, 67, 48, 19, 31, 12, 16, 24, 22, 12, 2, 4, 7, 3, 2, 2, 7, 1, 0, 13, 5, 945, 404
32, 6, 87, 48, 69, 45, 21, 32, 14, 17, 22, 23, 12, 2, 3, 7, 3, 2, 2, 7, 1, 0, 14, 5, 944, 403
33, 6, 88, 48, 67, 45, 21, 32, 14, 17, 22, 23, 12, 2, 3, 7, 3, 2, 1, 6, 2, 0, 15, 5, 943, 405
33, 8, 90, 49, 63, 46, 23, 27, 17, 18, 23, 22, 11, 1, 4, 7, 2, 1, 0, 6, 2, 0, 15, 4, 942, 406
32, 8, 90, 50, 63, 46, 24, 25, 17, 18, 23, 22, 11, 1, 4, 7, 3, 1, 0, 6, 2, 0, 16, 4, 941, 404
34, 7, 88, 51, 65, 45, 23, 26, 18, 19, 23, 22, 10, 2, 4, 7, 3, 1, 0, 6, 2, 0, 16, 3, 940, 399
39, 5, 87, 51, 67, 42, 22, 22, 21, 21, 24, 22, 10, 2, 4, 6, 3, 1, 0, 6, 2, 0, 15, 3, 939, 398
38, 5, 88, 50, 69, 42, 20, 23, 22, 20, 25, 21, 10, 2, 4, 6, 2, 1, 0, 6, 2, 0, 15, 3, 938, 397
39, 5, 87, 50, 69, 43, 22, 25, 22, 19, 22, 21, 10, 2, 2, 6, 3, 1, 0, 6, 3, 0, 15, 4, 936, 398
40, 4, 90, 51, 67, 42, 23, 23, 22, 19, 24, 22, 10, 2, 3, 6, 3, 0, 0, 7, 3, 0, 15, 4, 934, 397
42, 3, 89, 53, 69, 40, 22, 22, 23, 20, 22, 21, 10, 3, 3, 6, 3, 0, 0, 6, 3, 0, 12, 4, 933, 393
